date,review_text,sentiment,review_id,customer_id
2025-07-04,Highly recommend the spicy noodles. The ambiance is also very nice.,positive,R0109,C6471
2025-07-04,Perfect place for a quick lunch. The food is consistently good.,positive,R0114,C8808
2025-07-04,The noodles were mushy and the vegetables were wilted.,negative,R0011,C3946
2025-07-04,The service was average and the food was standard.,neutral,R0171,C8015
2025-07-04,Loved everything about this place. The portions were generous and the taste was fantastic.,positive,R0103,C1628
2025-07-04,Overpriced and underwhelming. The food lacked flavor completely.,negative,R0105,C2039
2025-07-04,The service was average and the food was standard.,neutral,R0062,C8507
2025-07-04,Excellent dining experience. The food arrived quickly and was still hot.,positive,R0197,C2152
2025-07-04,The food was greasy and unappetizing. Very disappointing. The restaurant atmosphere was pleasant.,negative,R0060,C6393
2025-07-05,Would not recommend. The quality has really gone downhill.,negative,R0042,C1882
2025-07-05,Fantastic restaurant! The staff was attentive and the food was delicious.,positive,R0055,C2850
2025-07-05,The food was alright. Service could be better but it's acceptable.,neutral,R0112,C1346
2025-07-05,Loved everything about this place. The portions were generous and the taste was fantastic. Clean restrooms.,positive,R0120,C8001
2025-07-05,Overpriced and underwhelming. The food lacked flavor completely.,negative,R0175,C9744
2025-07-05,Absolutely amazing food! The noodles were perfectly cooked and the flavors were incredible.,positive,R0045,C8973
2025-07-06,The food was alright. Service could be better but it's acceptable.,neutral,R0046,C7189
2025-07-06,Highly recommend the spicy noodles. The ambiance is also very nice. The restaurant atmosphere was pleasant.,positive,R0129,C6701
2025-07-07,Perfect place for a quick lunch. The food is consistently good.,positive,R0137,C7697
2025-07-07,Highly recommend the spicy noodles. The ambiance is also very nice. Music was at a good volume.,positive,R0167,C4194
2025-07-07,Long wait times and mediocre food. Not worth the money. Staff was professional.,negative,R0058,C6926
2025-07-08,Wonderful dining experience. The restaurant is clean and the food is fresh.,positive,R0052,C6627
2025-07-08,The noodles were mushy and the vegetables were wilted. Good location and easy to find.,negative,R0079,C6112
2025-07-08,Average experience. The noodles were decent and the service was fine. Parking was convenient.,neutral,R0005,C8000
2025-07-08,Perfect place for a quick lunch. The food is consistently good. Music was at a good volume.,positive,R0139,C1006
2025-07-08,Wonderful dining experience. The restaurant is clean and the food is fresh.,positive,R0190,C9261
2025-07-08,Wonderful dining experience. The restaurant is clean and the food is fresh. Music was at a good volume.,positive,R0181,C6092
2025-07-08,Terrible customer service. The waiters were rude and inattentive.,negative,R0178,C3630
2025-07-08,Best noodles in town! The staff was friendly and the atmosphere was great. Staff was professional.,positive,R0013,C4263
2025-07-09,The food was greasy and unappetizing. Very disappointing.,negative,R0012,C8620
2025-07-09,It's an okay place. The noodles were decent and the price was fair.,neutral,R0003,C4294
2025-07-09,The restaurant was dirty and the staff seemed uninterested.,negative,R0096,C4559
2025-07-09,Amazing flavors! The chef really knows what they're doing.,positive,R0099,C1276
2025-07-09,Best noodles in town! The staff was friendly and the atmosphere was great.,positive,R0170,C3432
